Tarih	Satýþ Temsilcisi	Adet	ÜrünAdý	Fiyat	Ýndirim	Net
2.04.2016	Ahmet Akgüneþ	200	Fren Balatasý	24,99	0,65	1749,3
17.02.2016	Murat Mandýracý	2	Viraj Lastiði	23,95	0	47,9
13.05.2016	Suat Çelik	225	Ateþleme Bobini	25,95	0,4	3503,25
16.01.2016	Deniz Kite	41	Buji Takýmý	43	0,07	1639,59
5.04.2016	Kerem Köker	35	Fren Balatasý	24,99	0,06	822,171
15.02.2016	Levent Koç	525	Fren Balatasý	24,99	0,62	4985,505
6.06.2016	Osman Þibik	1	Rot Baþý	23	0	23
5.04.2016	Ayça Kayaþ	100	Far	100	0,21	7900
21.03.2016	Koray Cengiz	5	Rot Baþý	23	0	115
31.03.2016	Azem Alptekin	25	Günelik	15,95	0,15	338,9375
25.06.2016	Hadi Ýstanbullu	47	Tekerlek	19,99	0,09	854,9723
14.02.2016	Engin Özdemir	2	Tekerlek	19,99	0	39,98
10.01.2016	Sibel Demir	49	Rot Kolu	27,95	0,09	1246,2905
6.05.2016	Esat Çetin	325	Buji Takýmý	43	0,55	6288,75
13.04.2016	Emrah Kýrýmsoy	47	Tekerlek	19,99	0,01	930,1347
12.01.2016	Taylan Denizhan	1	Debiyaj Seti	22	0	22
25.04.2016	Behice Keleþ	26	Rot Kolu	27,95	0,09	661,297
22.06.2016	Hadi Ýstanbullu	575	Rot Baþý	23	0,52	6348
26.06.2016	Hüseyin Anýlan	9	Silecek	19,99	0	179,91
21.04.2016	Kerem Köker	1	Fren Disk	59,99	0	59,99
19.06.2016	Osman Þibik	28	Günelik	15,95	0,06	419,804
14.02.2016	Gülten Seha	7	Debiyaj Seti	22	0	154
11.01.2016	Koray Cengiz	225	Ateþleme Bobini	25,95	0,58	2452,275
5.04.2016	Azem Alptekin	5	Debiyaj Seti	22	0	110
7.04.2016	Kenan Arýbaþ	35	Buji Takýmý	43	0,03	1459,85
21.02.2016	Ramazan Coþkun	7	Yað Filtresi	43,69	0	305,83
4.06.2016	Gülten Seha	300	Tekerlek	19,99	0,49	3058,47
4.02.2016	Gülten Seha	29	Rot Baþý	23	0,14	573,62
3.06.2016	Buket Erezcan	300	Rot Baþý	23	0,64	2484
24.06.2016	Yasin Uygur	26	Silecek	19,99	0,14	446,9764
9.05.2016	Burak Öztemel	3	Rot Kolu	27,95	0	83,85
16.05.2016	Emrah Kýrýmsoy	8	Fren Disk	59,99	0	479,92
26.01.2016	Hüseyin Anýlan	2	Rot Kolu	27,95	0	55,9
10.04.2016	Taner Yýlmaz	9	Debiyaj Seti	22	0	198
2.04.2016	Taner Yýlmaz	12	Buji Takýmý	43	0,14	443,76
8.04.2016	Burak Öztemel	450	Tekerlek	19,99	0,48	4677,66
5.02.2016	Ayça Kayaþ	350	Ateþleme Bobini	25,95	0,52	4359,6
14.03.2016	Ýbrahim Taha	475	Fren Balatasý	24,99	0,54	5460,315
4.06.2016	Þehabettin Gündoðdu	37	Yað Filtresi	43,69	0,08	1487,2076
14.01.2016	Özge Dinçer	8	Tekerlek	19,99	0	159,92
14.06.2016	Sýtký Iþýt	175	Fren Balatasý	24,99	0,37	2755,1475
6.03.2016	Metin Koçyiðit	550	Rot Baþý	23	0,4	7590
20.04.2016	Sýtký Iþýt	2	Tekerlek	19,99	0	39,98
29.02.2016	Serdar Kýlýç	23	Buji Takýmý	43	0,03	959,33
18.06.2016	Þehabettin Gündoðdu	575	Rot Kolu	27,95	0,48	8357,05
12.04.2016	Taylan Denizhan	5	Buji Takýmý	43	0	215
2.03.2016	Ufuk Çaðlayan	25	Rot Baþý	23	0,06	540,5
23.04.2016	Þemsettin Aksay	10	Ateþleme Bobini	25,95	0,05	246,525
21.03.2016	Sibel Demir	43	Yað Filtresi	43,69	0,04	1803,5232
25.03.2016	Ahmet Akgüneþ	35	Ateþleme Bobini	25,95	0,05	862,8375
11.01.2016	Engin Özdemir	19	Far	100	0,14	1634
3.06.2016	Koray Cengiz	36	Ateþleme Bobini	25,95	0,03	906,174
12.06.2016	Hülya Toprak	275	Buji Takýmý	43	0,65	4138,75
27.03.2016	Hasan Coþkun	250	Tekerlek	19,99	0,5	2498,75
5.03.2016	Özge Dinçer	300	Debiyaj Seti	22	0,6	2640
16.04.2016	Taylan Denizhan	500	Rot Baþý	23	0,64	4140
26.05.2016	Metin Koçyiðit	9	Silecek	19,99	0	179,91
10.01.2016	Ufuk Çaðlayan	1	Ateþleme Bobini	25,95	0	25,95
31.03.2016	Kubilay Taþtutar	44	Trigger Seti	26	0,15	972,4
27.06.2016	Engin Özdemir	8	Silecek	19,99	0	159,92
27.03.2016	Taner Yýlmaz	2	Trigger Seti	26	0	52
26.05.2016	Dilek Gürbüz	27	Trigger Seti	26	0,13	610,74
24.06.2016	Soner Bereket	16	Silecek	19,99	0,03	310,2448
21.03.2016	Ýbrahim Taha	5	Yað Filtresi	43,69	0	218,45
26.04.2016	Koray Cengiz	275	Günelik	15,95	0,59	1798,3625
1.02.2016	Önerbay Ertuðrul	3	Debiyaj Seti	22	0	66
8.05.2016	Deniz Kite	21	Rot Kolu	27,95	0,11	522,3855
10.04.2016	Gülten Seha	475	Rot Kolu	27,95	0,57	5708,7875
14.03.2016	Hasan Coþkun	8	Günelik	15,95	0	127,6
5.02.2016	Ayan Öztürk	6	Buji Takýmý	43	0	258
7.06.2016	Ayça Kayaþ	400	Debiyaj Seti	22	0,57	3784
6.04.2016	Taylan Denizhan	25	Silecek	19,99	0,1	449,775
9.02.2016	Orçun Doðan	2	Ateþleme Bobini	25,95	0	51,9
27.06.2016	Azem Alptekin	9	Silecek	19,99	0	179,91
11.04.2016	Damla Diker	6	Ateþleme Bobini	25,95	0	155,7
4.03.2016	Behice Keleþ	26	Rot Kolu	27,95	0,14	624,962
30.01.2016	Hasan Coþkun	23	Fren Balatasý	24,99	0,09	523,0407
14.01.2016	Sýtký Iþýt	600	Rot Baþý	23	0,51	6762
3.06.2016	Önerbay Ertuðrul	575	Rot Baþý	23	0,49	6744,75
22.04.2016	Osman Þibik	47	Buji Takýmý	43	0,07	1879,53
22.01.2016	Damla Diker	1	Günelik	15,95	0	15,95
17.03.2016	Kubilay Taþtutar	37	Fren Balatasý	24,99	0,01	915,3837
14.04.2016	Ahmet Yüce	600	Trigger Seti	26	0,51	7644
22.05.2016	Gülten Seha	325	Günelik	15,95	0,5	2591,875
27.04.2016	Pýnar Girmen	3	Yað Filtresi	43,69	0	131,07
8.03.2016	Birol Bilgili	4	Ateþleme Bobini	25,95	0	103,8
18.02.2016	Orçun Doðan	2	Buji Takýmý	43	0	86
12.01.2016	Behice Keleþ	575	Rot Baþý	23	0,65	4628,75
13.02.2016	Esat Çetin	300	Trigger Seti	26	0,56	3432
21.03.2016	Suat Çelik	33	Buji Takýmý	43	0,03	1376,43
8.05.2016	Osman Þibik	22	Trigger Seti	26	0,05	543,4
8.01.2016	Azem Alptekin	400	Rot Baþý	23	0,64	3312
12.01.2016	Orçun Doðan	2	Yað Filtresi	43,69	0	87,38
23.05.2016	Sevil Çetinkaya	33	Günelik	15,95	0,1	473,715
5.03.2016	Hasan Coþkun	10	Rot Baþý	23	0,02	225,4
8.04.2016	Ali Koç	225	Viraj Lastiði	23,95	0,48	2802,15
31.01.2016	Ramazan Coþkun	4	Tekerlek	19,99	0	79,96
20.04.2016	Taylan Denizhan	5	Yað Filtresi	43,69	0	218,45
12.03.2016	Esat Çetin	20	Tekerlek	19,99	0,15	339,83
9.03.2016	Ayça Kayaþ	475	Silecek	19,99	0,4	5697,15
27.05.2016	Damla Diker	9	Rot Baþý	23	0	207
15.02.2016	Kenan Arýbaþ	28	Tekerlek	19,99	0,15	475,762
10.06.2016	Hasan Coþkun	400	Fren Disk	59,99	0,45	13197,8
5.03.2016	Osman Þibik	2	Yað Filtresi	43,69	0	87,38
1.02.2016	Emrah Kýrýmsoy	9	Silecek	19,99	0	179,91
30.06.2016	Esat Çetin	28	Fren Disk	59,99	0,03	1629,3284
6.05.2016	Behice Keleþ	40	Günelik	15,95	0,11	567,82
3.01.2016	Ayan Öztürk	21	Günelik	15,95	0,09	304,8045
21.05.2016	Azem Alptekin	8	Rot Baþý	23	0	184
27.05.2016	Buket Erezcan	1	Yað Filtresi	43,69	0	43,69
24.04.2016	Osman Þibik	20	Buji Takýmý	43	0,01	851,4
10.03.2016	Ahmet Akgüneþ	44	Rot Baþý	23	0,15	860,2
25.04.2016	Burak Öztemel	6	Fren Balatasý	24,99	0	149,94
2.06.2016	Sibel Demir	48	Far	100	0,14	4128
27.06.2016	Gülten Seha	7	Silecek	19,99	0	139,93
1.05.2016	Ýbrahim Taha	100	Yað Filtresi	43,69	0,37	2752,47
30.01.2016	Ayça Kayaþ	4	Günelik	15,95	0	63,8
26.03.2016	Metin Koçyiðit	5	Tekerlek	19,99	0	99,95
5.03.2016	Ahmet Akgüneþ	7	Fren Balatasý	24,99	0	174,93
23.06.2016	Hadi Ýstanbullu	20	Fren Balatasý	24,99	0,1	449,82
20.02.2016	Hüseyin Anýlan	46	Buji Takýmý	43	0,14	1701,08
2.04.2016	Ramazan Coþkun	4	Trigger Seti	26	0	104
25.04.2016	Ali Koç	200	Debiyaj Seti	22	0,49	2244
23.02.2016	Azem Alptekin	400	Far	100	0,63	14800
7.03.2016	Ali Koç	31	Yað Filtresi	43,69	0,01	1340,8461
2.02.2016	Kubilay Taþtutar	400	Rot Baþý	23	0,44	5152
16.06.2016	Buket Erezcan	2	Far	100	0	200
29.02.2016	Taner Yýlmaz	4	Fren Balatasý	24,99	0	99,96
10.06.2016	Hadi Ýstanbullu	31	Ateþleme Bobini	25,95	0,09	732,0495
20.04.2016	Murat Mandýracý	45	Rot Baþý	23	0,04	993,6
20.05.2016	Esat Çetin	425	Fren Disk	59,99	0,63	9433,4275
4.06.2016	Þemsettin Aksay	250	Yað Filtresi	43,69	0,55	4915,125
22.06.2016	Kenan Arýbaþ	6	Yað Filtresi	43,69	0	262,14
13.04.2016	Ergun Kaya	75	Far	100	0,42	4350
25.04.2016	Ýbrahim Taha	10	Rot Baþý	23	0,01	227,7
28.06.2016	Metin Koçyiðit	44	Far	100	0,13	3828
3.03.2016	Muhammet Tek	525	Tekerlek	19,99	0,59	4302,8475
25.01.2016	Ergun Kaya	33	Ateþleme Bobini	25,95	0,12	753,588
20.01.2016	Gülten Seha	33	Günelik	15,95	0,05	500,0325
8.05.2016	Orçun Doðan	8	Günelik	15,95	0	127,6
5.04.2016	Hadi Ýstanbullu	3	Tekerlek	19,99	0	59,97
28.04.2016	Kerem Köker	75	Rot Kolu	27,95	0,22	1635,075
17.02.2016	Özge Dinçer	42	Trigger Seti	26	0,09	993,72
20.05.2016	Damla Diker	31	Rot Kolu	27,95	0,13	753,8115
31.03.2016	Koray Cengiz	36	Yað Filtresi	43,69	0,1	1415,556
22.03.2016	Taner Yýlmaz	28	Tekerlek	19,99	0,05	531,734
3.04.2016	Esat Çetin	17	Fren Disk	59,99	0,08	938,2436
8.05.2016	Ayça Kayaþ	27	Rot Kolu	27,95	0,07	701,8245
8.03.2016	Taylan Denizhan	7	Fren Disk	59,99	0	419,93
13.02.2016	Özge Dinçer	21	Ateþleme Bobini	25,95	0,06	512,253
17.01.2016	Azem Alptekin	125	Silecek	19,99	0,31	1724,1375
20.01.2016	Burak Öztemel	150	Yað Filtresi	43,69	0,3	4587,45
23.03.2016	Pýnar Girmen	4	Debiyaj Seti	22	0	88
1.04.2016	Þemsettin Aksay	3	Ateþleme Bobini	25,95	0	77,85
11.03.2016	Ahmet Yüce	19	Tekerlek	19,99	0,13	330,4347
13.06.2016	Necmettin Yemiþ	6	Rot Baþý	23	0	138
19.05.2016	Sýtký Iþýt	16	Ateþleme Bobini	25,95	0,11	369,528
11.02.2016	Sýtký Iþýt	575	Silecek	19,99	0,65	4022,9875
24.03.2016	Serdar Kýlýç	550	Fren Disk	59,99	0,42	19136,81
17.03.2016	Yasin Uygur	8	Far	100	0	800
14.04.2016	Yasin Uygur	5	Far	100	0	500
4.01.2016	Burak Öztemel	10	Rot Kolu	27,95	0,04	268,32
1.02.2016	Soner Bereket	9	Debiyaj Seti	22	0	198
13.02.2016	Pýnar Girmen	6	Yað Filtresi	43,69	0	262,14
30.03.2016	Sibel Demir	26	Yað Filtresi	43,69	0,02	1113,2212
13.03.2016	Osman Þibik	41	Buji Takýmý	43	0,11	1569,07
11.03.2016	Ramazan Coþkun	450	Far	100	0,52	21600
31.03.2016	Ufuk Çaðlayan	10	Debiyaj Seti	22	0,08	202,4
7.05.2016	Özge Dinçer	425	Günelik	15,95	0,49	3457,1625
3.01.2016	Özge Dinçer	100	Buji Takýmý	43	0,43	2451
10.01.2016	Hadi Ýstanbullu	125	Trigger Seti	26	0,42	1885
2.05.2016	Sevil Çetinkaya	75	Rot Kolu	27,95	0,39	1278,7125
3.04.2016	Kerem Köker	225	Silecek	19,99	0,52	2158,92
12.01.2016	Damla Diker	29	Viraj Lastiði	23,95	0,12	611,204
4.01.2016	Gülten Seha	350	Buji Takýmý	43	0,51	7374,5
2.04.2016	Gülten Seha	4	Rot Baþý	23	0	92
4.04.2016	Sevil Çetinkaya	9	Rot Kolu	27,95	0	251,55
18.05.2016	Taner Yýlmaz	5	Rot Baþý	23	0	115
18.06.2016	Koray Cengiz	475	Rot Kolu	27,95	0,54	6107,075
8.04.2016	Burak Öztemel	500	Trigger Seti	26	0,49	6630
21.03.2016	Osman Þibik	3	Buji Takýmý	43	0	129
27.02.2016	Hüseyin Anýlan	32	Buji Takýmý	43	0,08	1265,92
8.02.2016	Þehabettin Gündoðdu	38	Rot Kolu	27,95	0,04	1019,616
26.03.2016	Serdar Kýlýç	42	Far	100	0,09	3822
24.06.2016	Serdar Kýlýç	34	Silecek	19,99	0,03	659,2702
19.03.2016	Þemsettin Aksay	30	Günelik	15,95	0,07	445,005
25.04.2016	Murat Mandýracý	225	Debiyaj Seti	22	0,61	1930,5
21.05.2016	Damla Diker	4	Günelik	15,95	0	63,8
31.01.2016	Birol Bilgili	9	Günelik	15,95	0	143,55
5.05.2016	Buket Erezcan	5	Yað Filtresi	43,69	0	218,45
10.01.2016	Özge Dinçer	8	Rot Kolu	27,95	0	223,6
29.06.2016	Önerbay Ertuðrul	25	Silecek	19,99	0,13	434,7825
24.06.2016	Dilek Gürbüz	30	Tekerlek	19,99	0,15	509,745
13.05.2016	Metin Koçyiðit	2	Far	100	0	200
10.01.2016	Önerbay Ertuðrul	13	Ateþleme Bobini	25,95	0,02	330,603
13.04.2016	Damla Diker	11	Ateþleme Bobini	25,95	0,09	259,7595
9.06.2016	Kubilay Taþtutar	450	Fren Disk	59,99	0,61	10528,245
12.04.2016	Muhammet Tek	18	Günelik	15,95	0,05	272,745
30.03.2016	Birol Bilgili	17	Silecek	19,99	0,07	316,0419
5.03.2016	Buket Erezcan	37	Silecek	19,99	0,04	710,0448
24.06.2016	Behice Keleþ	400	Fren Disk	59,99	0,46	12957,84
19.05.2016	Behice Keleþ	6	Trigger Seti	26	0	156
1.01.2016	Özge Dinçer	5	Trigger Seti	26	0	130
24.02.2016	Taylan Denizhan	9	Fren Disk	59,99	0	539,91
14.03.2016	Buket Erezcan	75	Trigger Seti	26	0,26	1443
10.04.2016	Suat Çelik	18	Silecek	19,99	0,13	313,0434
28.05.2016	Taner Yýlmaz	46	Far	100	0,09	4186
2.06.2016	Kenan Arýbaþ	75	Fren Disk	59,99	0,19	3644,3925
17.05.2016	Ýbrahim Taha	6	Far	100	0	600
14.06.2016	Kerem Köker	300	Ateþleme Bobini	25,95	0,64	2802,6
24.06.2016	Orçun Doðan	18	Rot Kolu	27,95	0,02	493,038
9.01.2016	Hasan Coþkun	48	Buji Takýmý	43	0,07	1919,52
6.02.2016	Damla Diker	17	Buji Takýmý	43	0,06	687,14
22.04.2016	Hadi Ýstanbullu	36	Günelik	15,95	0,06	539,748
14.02.2016	Þemsettin Aksay	16	Günelik	15,95	0,1	229,68
26.01.2016	Ali Koç	500	Tekerlek	19,99	0,48	5197,4
6.04.2016	Özge Dinçer	3	Fren Balatasý	24,99	0	74,97
10.05.2016	Behice Keleþ	27	Fren Disk	59,99	0,08	1490,1516
12.04.2016	Burak Öztemel	300	Fren Disk	59,99	0,64	6478,92
7.04.2016	Hasan Coþkun	525	Tekerlek	19,99	0,51	5142,4275
29.02.2016	Buket Erezcan	9	Fren Disk	59,99	0	539,91
11.06.2016	Yasin Uygur	475	Tekerlek	19,99	0,42	5507,245
16.06.2016	Serdar Kýlýç	49	Debiyaj Seti	22	0,03	1045,66
18.01.2016	Levent Koç	2	Fren Balatasý	24,99	0	49,98
17.05.2016	Deniz Kite	475	Far	100	0,45	26125
20.03.2016	Birol Bilgili	5	Debiyaj Seti	22	0	110
22.03.2016	Ayça Kayaþ	50	Rot Kolu	27,95	0,5	698,75
17.04.2016	Hülya Toprak	5	Tekerlek	19,99	0	99,95
19.02.2016	Özge Dinçer	350	Fren Disk	59,99	0,44	11758,04
30.06.2016	Taylan Denizhan	3	Far	100	0	300
20.02.2016	Emrah Kýrýmsoy	7	Fren Balatasý	24,99	0	174,93
10.06.2016	Özge Dinçer	40	Fren Disk	59,99	0,13	2087,652
2.05.2016	Soner Bereket	25	Fren Balatasý	24,99	0,15	531,0375
30.01.2016	Orçun Doðan	2	Viraj Lastiði	23,95	0	47,9
17.05.2016	Kubilay Taþtutar	3	Far	100	0	300
14.01.2016	Hüseyin Anýlan	41	Debiyaj Seti	22	0,15	766,7
22.01.2016	Osman Þibik	4	Buji Takýmý	43	0	172
1.05.2016	Burak Öztemel	7	Günelik	15,95	0	111,65
16.02.2016	Serdar Kýlýç	46	Fren Balatasý	24,99	0,1	1034,586
27.04.2016	Damla Diker	200	Fren Disk	59,99	0,65	4199,3
19.04.2016	Sevil Çetinkaya	6	Trigger Seti	26	0	156
18.04.2016	Þemsettin Aksay	4	Trigger Seti	26	0	104
29.04.2016	Esat Çetin	550	Rot Baþý	23	0,41	7463,5
12.04.2016	Önerbay Ertuðrul	325	Tekerlek	19,99	0,46	3508,245
4.05.2016	Azem Alptekin	21	Fren Balatasý	24,99	0,12	461,8152
25.06.2016	Yasin Uygur	25	Yað Filtresi	43,69	0,03	1059,4825
12.06.2016	Taner Yýlmaz	425	Debiyaj Seti	22	0,44	5236
20.05.2016	Sevil Çetinkaya	325	Tekerlek	19,99	0,47	3443,2775
